imdbId,Image width,Image height,Bits/pixel,Pixel format,Compression,Format version,MIME type,Endianness
1821426,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1825842,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1270114,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
111686,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
23470,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
66849,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
112744,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
60445,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
871512,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
221115,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
462392,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
3489470,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1173907,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
3698408,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1142988,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
132477,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1311060,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
811136,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
161931,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
